,name,symbol,market_cap,price,volume,type,weighted
0,NVIDIA Corporation,NVDA,4402.980,180.45,150295195.0,CS,12.1
1,Microsoft Corporation,MSFT,3866.512,520.17,22434808.0,CS,10.6
2,Apple Inc.,AAPL,3436.888,231.59,54864147.0,CS,9.4
3,Alphabet Inc.,GOOGL,2471.839,203.9,34785039.0,CS,6.8
4,Alphabet Inc.,GOOG,2470.989,204.91,20101285.0,CS,6.8
5,"Amazon.com, Inc.",AMZN,2463.912,231.03,39378104.0,CS,6.7
6,Bitcoin,BTC,2344.719,117784.17631137471,68838481637.70567,CC,6.4
7,Berkshire Hathaway Inc.,BRK.B,2060.941,477.2,4381275.0,CS,5.6
8,"Meta Platforms, Inc.",META,1972.608,785.23,11277795.0,CS,5.4
9,Broadcom Inc.,AVGO,1440.861,306.34,21435708.0,CS,3.9
10,Taiwan Semiconductor Manufacturing Company Limited,TSM,1238.956,238.88,7021597.0,ADRC,3.4
11,"Tesla, Inc.",TSLA,1066.205,330.56,72949844.0,CS,2.9
12,JPMorgan Chase & Co.,JPM,798.775,290.49,7301669.0,CS,2.2
13,Walmart Inc.,WMT,798.042,100.0,10028284.0,CS,2.2
14,Oracle Corporation,ORCL,697.376,248.28,11506982.0,CS,1.9
15,Visa Inc.,V,663.747,344.47,4088373.0,CS,1.8
16,Eli Lilly and Company,LLY,663.684,701.23,8116656.0,CS,1.8
17,Ethereum,ETH,539.083,4466.0127742831155,55833446324.76332,CC,1.5
18,"Netflix, Inc.",NFLX,526.462,1238.95,2744623.0,CS,1.4
19,Mastercard Incorporated,MA,521.944,581.7,2263548.0,CS,1.4
20,Exxon Mobil Corporation,XOM,453.993,106.49,18819010.0,CS,1.2
21,Costco Wholesale Corporation,COST,431.077,972.04,1628621.0,CS,1.2
22,Johnson & Johnson,JNJ,425.409,176.64,9457902.0,CS,1.2
23,Palantir Technologies Inc.,PLTR,402.931,177.17,59832430.0,CS,1.1
24,"The Home Depot, Inc.",HD,397.354,399.38,3820080.0,CS,1.1
