built_2025-08-24,name,symbol,market_cap,price,volume,type,list_date,weighted
0,NVIDIA Corporation,NVDA,4342.956,177.99,171147190.0,CS,1999-01-22 00:00:00+00:00,16.3
1,Microsoft Corporation,MSFT,3770.327,507.23,24287463.0,CS,1986-03-13 00:00:00+00:00,14.2
2,Apple Inc.,AAPL,3380.049,227.76,42162846.0,CS,1980-12-12 00:00:00+00:00,12.7
3,Alphabet Inc.,GOOG,2495.875,206.72,25616791.0,CS,2004-08-19 00:00:00+00:00,9.4
4,Alphabet Inc.,GOOGL,2495.874,206.09,42737359.0,CS,2004-08-19 00:00:00+00:00,9.4
5,"Amazon.com, Inc.",AMZN,2440.556,228.84,27884257.0,CS,1997-05-15 00:00:00+00:00,9.2
6,Bitcoin,BTC,2296.433,115337.19124642054,55139765536.48592,CC,2010-07-13 00:00:00+00:00,8.6
7,Berkshire Hathaway Inc.,BRK.B,2111.650,489.0,4195089.0,CS,1996-05-09 00:00:00+00:00,7.9
8,"Meta Platforms, Inc.",META,1896.138,754.79,10556176.0,CS,2012-05-18 00:00:00+00:00,7.1
9,Broadcom Inc.,AVGO,1382.820,294.0,16273677.0,CS,2009-08-06 00:00:00+00:00,5.2
