,name,symbol,market_cap,price,volume,weighted
0,NVIDIA Corporation,NVDA,4457.880,182.7,121536404.0,16.7
1,Microsoft Corporation,MSFT,3880.412,522.04,15496974.0,14.5
2,Apple Inc.,AAPL,3403.646,229.35,110755700.0,12.8
3,Alphabet Inc.,GOOGL,2440.606,201.42,39091350.0,9.2
4,Alphabet Inc.,GOOG,2439.291,202.09,23662102.0,9.1
5,"Amazon.com, Inc.",AMZN,2374.967,222.69,31104720.0,8.9
6,Bitcoin,BTC,2319.030,116511.60502214574,54082187877.772545,8.7
7,Berkshire Hathaway Inc.,BRK-B,2012.452,465.4,2516944.0,7.5
8,"Meta Platforms, Inc.",META,1932.453,769.3,7256204.0,7.2
9,Broadcom Inc.,AVGO,1434.417,304.97,12252646.0,5.4
