,symbol,name,market_cap,mic,list_date,cik,composite_figi,outstanding_shares,postal_code,state,country,type,volume,closing_price,weighted
0,NVDA,NVIDIA Corp,4450.788,XNAS,1999-01-22 00:00:00,0001045810,BBG000BBJQV0,24300000000.0,,,US,Common Stock,187108708.4451225,,17.1
1,MSFT,Microsoft Corp,3798.051,XNAS,1986-03-13 00:00:00,0000789019,BBG000BPH459,7433170000.0,,,US,Common Stock,42268677.71935437,,14.6
2,AAPL,Apple Inc,3639.902,XNAS,1980-12-12 00:00:00,0000320193,BBG000B9XRY4,14840390000.0,,,US,Common Stock,54112210.3640212,,13.9
3,GOOG,Alphabet Inc. Class C Capital Stock,2872.204,XNAS,2004-08-19 00:00:00,0001652044,BBG009S3NB30,5430000000.0,94043,CA,,Common Stock,23871693.892656602,,11.0
4,GOOGL,Alphabet Inc. Class A Common Stock,2861.078,XNAS,2004-08-19 00:00:00,0001652044,BBG009S39JX6,5817000000.0,94043,CA,,Common Stock,38268568.4739019,,11.0
5,AMZN,Amazon.com Inc,2307.567,XNAS,1997-05-15 00:00:00,0001018724,BBG000BVPV84,10664910000.0,,,US,Common Stock,57295642.20155837,,8.8
6,META,"Meta Platforms, Inc. Class A Common Stock",1771.813,XNAS,2012-05-18 00:00:00,0001326801,BBG000MM2P62,2168962480.0,94025,CA,,Common Stock,16600343.111938767,,6.8
7,AVGO,Broadcom Inc,1533.021,XNAS,2009-08-06 00:00:00,0001730168,BBG00KHY5S69,4722370000.0,,,US,Common Stock,25553925.6544215,,5.9
8,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1455.650,XNYS,1997-10-08 00:00:00,0001046179,BBG000BD8ZK0,5186523200.0,,,,ADR,14137620.227625666,,5.6
9,TSLA,Tesla Inc,1374.917,XNAS,2010-06-29 00:00:00,0001318605,BBG000N9MNX3,3325150000.0,,,US,Common Stock,59969076.68337341,,5.3
