,name,symbol,market_cap,price,volume,weighted
0,NVIDIA Corporation,NVDA,4375.303,179.3157,58526672.0,9.4
1,Microsoft Corporation,MSFT,3882.410,522.3088,5567148.0,8.3
2,Apple Inc.,AAPL,3437.927,231.66,12458933.0,7.4
3,Alphabet Inc.,GOOGL,2497.297,206.0,9411808.0,5.4
4,Alphabet Inc.,GOOG,2495.047,206.905,6527316.0,5.4
5,"Amazon.com, Inc.",AMZN,2474.790,232.05,14498470.0,5.3
6,Bitcoin,BTC,2349.147,118007.53573437445,76961623402.14043,5.0
7,Berkshire Hathaway Inc.,BRK.B,2063.309,478.29,1501293.0,4.4
8,"Meta Platforms, Inc.",META,1987.580,791.19,4452262.0,4.3
9,Broadcom Inc.,AVGO,1442.319,306.65,5358180.0,3.1
10,Taiwan Semiconductor Manufacturing Company Limited,TSM,1241.186,239.31,2608340.0,2.7
11,"Tesla, Inc.",TSLA,1072.568,332.5328,20366805.0,2.3
12,JPMorgan Chase & Co.,JPM,801.442,291.46,2155978.0,1.7
13,Walmart Inc.,WMT,796.776,99.8414,3355463.0,1.7
14,Oracle Corporation,ORCL,691.028,246.02,3265078.0,1.5
15,Visa Inc.,V,666.864,346.005,1197180.0,1.4
16,Eli Lilly and Company,LLY,653.131,690.08,2657388.0,1.4
17,Ethereum,ETH,548.605,4544.894159957958,56907744857.37655,1.2
18,"Netflix, Inc.",NFLX,527.291,1240.8999,1093820.0,1.1
19,Mastercard Incorporated,MA,524.421,584.46,533599.0,1.1
20,Exxon Mobil Corporation,XOM,455.723,106.8957,4802616.0,1.0
21,Costco Wholesale Corporation,COST,432.256,974.6976,473320.0,0.9
22,Johnson & Johnson,JNJ,423.711,175.935,1845893.0,0.9
23,Palantir Technologies Inc.,PLTR,403.531,177.4341,27788161.0,0.9
24,"The Home Depot, Inc.",HD,395.429,397.445,1045280.0,0.8
25,AbbVie Inc.,ABBV,363.293,205.65,1097264.0,0.8
26,The Procter & Gamble Company,PG,362.084,154.58,1944257.0,0.8
27,Bank of America Corporation,BAC,349.756,47.22,6994967.0,0.8
28,Sap Se,SAP,324.835,278.59,277784.0,0.7
29,Chevron Corporation,CVX,319.884,156.24,2087304.0,0.7
30,The Coca-Cola Company,KO,300.590,69.845,2946615.0,0.7
31,ASML Holding N.V.,ASML,293.076,745.3619,662554.0,0.6
32,Alibaba Group Holding Limited,BABA,289.579,121.455,4538293.0,0.6
33,"Advanced Micro Devices, Inc.",AMD,287.713,177.29,19028482.0,0.6
34,"T-Mobile US, Inc.",TMUS,283.685,252.07,617827.0,0.6
35,GE Aerospace,GE,283.105,266.9689,1737449.0,0.6
36,UnitedHealth Group Incorporated,UNH,274.963,303.6,30847016.0,0.6
37,"Cisco Systems, Inc.",CSCO,266.231,67.23,9673335.0,0.6
38,Philip Morris International Inc.,PM,256.791,164.97,1111405.0,0.6
39,Toyota Motor Corporation,TM,253.174,194.11,35003.0,0.5
40,Wells Fargo & Company,WFC,250.893,78.32,2903892.0,0.5
41,AstraZeneca PLC,AZN,244.130,78.755,1000313.0,0.5
42,Novartis AG,NVS,238.981,123.45,206508.0,0.5
43,Morgan Stanley,MS,233.413,146.2175,1133960.0,0.5
44,Novo Nordisk A/S,NVO,230.199,51.805,5409994.0,0.5
45,"Salesforce, Inc.",CRM,229.865,240.445,3410432.0,0.5
46,Abbott Laboratories,ABT,229.175,131.675,1792110.0,0.5
47,Linde plc,LIN,226.057,482.09,455074.0,0.5
48,HSBC Holdings plc,HSBC,223.076,64.175,701562.0,0.5
49,International Business Machines Corporation,IBM,222.996,239.39,998008.0,0.5
50,"The Goldman Sachs Group, Inc.",GS,222.058,733.54,494107.0,0.5
51,McDonald's Corporation,MCD,219.626,307.77,571029.0,0.5
52,Shell plc,SHEL,212.229,71.795,991585.0,0.5
53,American Express Company,AXP,212.133,304.84,562987.0,0.5
54,"Merck & Co., Inc.",MRK,210.026,84.085,2443176.0,0.5
55,The Walt Disney Company,DIS,209.207,116.36,1384221.0,0.5
56,AT&T Inc.,T,206.253,28.845,6975642.0,0.4
57,Blackstone Inc.,BX,206.220,171.84,905259.0,0.4
58,RTX Corporation,RTX,206.142,154.005,1063264.0,0.4
59,"PepsiCo, Inc.",PEP,205.020,149.75,1457717.0,0.4
60,Intuit Inc.,INTU,198.462,711.47,393697.0,0.4
61,"Uber Technologies, Inc.",UBER,195.174,93.59,5620085.0,0.4
62,Caterpillar Inc.,CAT,193.173,412.34,799806.0,0.4
63,Royal Bank of Canada,RY,192.863,136.755,73435.0,0.4
64,HDFC Bank Limited,HDB,190.953,74.64,345965.0,0.4
