,symbol,name,market_cap,closing_price,type,volume,list_date,outstanding_shares,weighted
0,BTC,Bitcoin,1318.097,65918.86447813986,Crypto,1141323451761.5007,2010-07-13T00:00:00.000Z,19995743.0,71.8
1,ETH,Ethereum,232.999,1930.5225749421318,Crypto,676405741462.8335,2015-08-07T00:00:00.000Z,120692247.58083288,12.7
2,BNB,BNB,83.741,614.1205243366894,Crypto,60100996926.83634,2017-07-25T00:00:00.000Z,136358810.76,4.6
3,XRP,XRP,83.197,1.3618745602050042,Crypto,100646547932.25058,2013-08-04T00:00:00.000Z,61090376977.0,4.5
4,SOL,Solana,46.783,82.14306779470839,Crypto,110336035513.05034,2020-04-10T00:00:00.000Z,569526772.929504,2.5
5,TRX,TRON,26.763,0.2824942612501943,Crypto,13315381098.313824,2017-09-13T00:00:00.000Z,94738936002.01709,1.5
6,DOGE,Dogecoin,15.796,0.09350892235039224,Crypto,30433298329.342705,2013-12-15T00:00:00.000Z,168920363126.57907,0.9
7,ADA,Cardano,10.032,0.2780962008454915,Crypto,15553939073.60976,2017-10-01T00:00:00.000Z,36074136490.46285,0.6
8,BCH,Bitcoin Cash,9.236,461.78727693356785,Crypto,10312525546.599318,2017-07-23T00:00:00.000Z,20000781.25,0.5
9,LEO,UNUS SED LEO,8.131,8.825623984770711,Crypto,34086201.67722997,2019-05-21T00:00:00.000Z,921272704.9,0.4
