,name,symbol,market_cap,price,volume,type,list_date,weighted
0,NVIDIA Corporation,NVDA,4342.956,177.99,171147190.0,CS,1999-01-22 00:00:00+00:00,7.8
1,Microsoft Corporation,MSFT,3770.327,507.23,24287463.0,CS,1986-03-13 00:00:00+00:00,6.7
2,Apple Inc.,AAPL,3380.049,227.76,42162846.0,CS,1980-12-12 00:00:00+00:00,6.0
3,Alphabet Inc.,GOOG,2495.875,206.72,25616791.0,CS,2004-08-19 00:00:00+00:00,4.5
4,Alphabet Inc.,GOOGL,2495.874,206.09,42737359.0,CS,2004-08-19 00:00:00+00:00,4.5
5,"Amazon.com, Inc.",AMZN,2440.556,228.84,27884257.0,CS,1997-05-15 00:00:00+00:00,4.4
6,Bitcoin,BTC,2296.947,115363.00076400644,55172627041.6411,CC,2010-07-13 00:00:00+00:00,4.1
7,Berkshire Hathaway Inc.,BRK.B,2111.650,489.0,4195089.0,CS,1996-05-09 00:00:00+00:00,3.8
8,"Meta Platforms, Inc.",META,1896.138,754.79,10556176.0,CS,2012-05-18 00:00:00+00:00,3.4
9,Broadcom Inc.,AVGO,1382.820,294.0,16273677.0,CS,2009-08-06 00:00:00+00:00,2.5
10,Taiwan Semiconductor Manufacturing Company Limited,TSM,1208.413,232.99,10262169.0,ADRC,1997-10-08 00:00:00+00:00,2.2
11,"Tesla, Inc.",TSLA,1096.685,340.01,93186408.0,CS,2010-06-29 00:00:00+00:00,2.0
12,JPMorgan Chase & Co.,JPM,814.586,296.24,6662100.0,CS,1969-03-05 00:00:00+00:00,1.5
13,Walmart Inc.,WMT,772.744,96.83,29035830.0,CS,1970-10-01 00:00:00+00:00,1.4
14,Visa Inc.,V,674.479,350.04,4957835.0,CS,2008-03-19 00:00:00+00:00,1.2
15,Eli Lilly and Company,LLY,673.575,711.68,2779992.0,CS,1970-07-09 00:00:00+00:00,1.2
16,Oracle Corporation,ORCL,663.923,236.37,7425169.0,CS,1986-03-12 00:00:00+00:00,1.2
17,Ethereum,ETH,578.646,4793.79485529678,35514190701.8893,CC,2015-08-07 00:00:00+00:00,1.0
18,Mastercard Incorporated,MA,537.431,598.96,1871896.0,CS,2006-05-25 00:00:00+00:00,1.0
19,"Netflix, Inc.",NFLX,511.887,1204.65,3060281.0,CS,2002-05-23 00:00:00+00:00,0.9
20,Exxon Mobil Corporation,XOM,474.414,111.28,13565751.0,CS,1920-03-25 00:00:00+00:00,0.8
21,Johnson & Johnson,JNJ,431.791,179.29,7389343.0,CS,1944-09-25 00:00:00+00:00,0.8
22,Costco Wholesale Corporation,COST,425.090,958.54,2788619.0,CS,1982-03-02 00:00:00+00:00,0.8
23,"The Home Depot, Inc.",HD,410.696,412.79,4655270.0,CS,1981-09-22 00:00:00+00:00,0.7
24,AbbVie Inc.,ABBV,372.038,210.6,4817905.0,CS,2012-12-10 00:00:00+00:00,0.7
25,The Procter & Gamble Company,PG,371.664,158.67,4823439.0,CS,1950-03-22 00:00:00+00:00,0.7
26,Bank of America Corporation,BAC,366.496,49.48,39348343.0,CS,1973-01-02 00:00:00+00:00,0.7
27,Palantir Technologies Inc.,PLTR,361.016,158.74,101366474.0,CS,2020-09-30 00:00:00+00:00,0.7
28,Chevron Corporation,CVX,323.856,158.18,9078777.0,CS,1970-01-02 00:00:00+00:00,0.6
29,Sap Se,SAP,316.113,271.11,1392999.0,ADRC,1995-09-18 00:00:00+00:00,0.6
30,The Coca-Cola Company,KO,301.816,70.13,9509615.0,CS,1924-09-26 00:00:00+00:00,0.5
31,ASML Holding N.V.,ASML,296.823,754.89,1435275.0,ADRC,1995-03-15 00:00:00+00:00,0.5
32,Alibaba Group Holding Limited,BABA,285.114,122.94,12784261.0,ADRC,2014-09-19 00:00:00+00:00,0.5
33,"T-Mobile US, Inc.",TMUS,283.550,251.95,3984578.0,CS,2007-04-19 00:00:00+00:00,0.5
34,GE Aerospace,GE,282.639,266.53,3510754.0,CS,1892-06-23 00:00:00+00:00,0.5
35,UnitedHealth Group Incorporated,UNH,278.422,307.42,14590079.0,CS,1984-10-17 00:00:00+00:00,0.5
36,"Advanced Micro Devices, Inc.",AMD,272.248,167.76,43779945.0,CS,1973-01-02 00:00:00+00:00,0.5
37,Philip Morris International Inc.,PM,267.344,171.75,3981303.0,CS,2008-03-31 00:00:00+00:00,0.5
38,"Cisco Systems, Inc.",CSCO,266.587,67.32,16410438.0,CS,1990-02-16 00:00:00+00:00,0.5
39,Toyota Motor Corporation,TM,262.454,201.37,410392.0,ADRC,1976-08-18 00:00:00+00:00,0.5
40,Wells Fargo & Company,WFC,253.392,79.1,11280821.0,CS,1962-12-10 00:00:00+00:00,0.5
41,Novo Nordisk A/S,NVO,253.194,56.98,17260996.0,ADRC,1981-04-30 00:00:00+00:00,0.5
42,AstraZeneca PLC,AZN,250.996,80.97,3556345.0,ADRC,1993-05-18 00:00:00+00:00,0.5
43,Novartis AG,NVS,245.814,126.98,1339312.0,ADRC,1996-11-07 00:00:00+00:00,0.4
44,"Salesforce, Inc.",CRM,237.365,248.29,5485119.0,CS,2004-06-23 00:00:00+00:00,0.4
45,Morgan Stanley,MS,236.290,148.02,6759316.0,CS,1986-03-21 00:00:00+00:00,0.4
46,Abbott Laboratories,ABT,230.768,132.59,4130146.0,CS,1949-04-19 00:00:00+00:00,0.4
47,HSBC Holdings plc,HSBC,228.058,65.68,1126816.0,ADRC,1995-05-11 00:00:00+00:00,0.4
48,Linde plc,LIN,225.860,481.67,1758624.0,CS,1992-06-01 00:00:00+00:00,0.4
49,International Business Machines Corporation,IBM,225.511,242.09,2571021.0,CS,1949-01-28 00:00:00+00:00,0.4
50,"The Goldman Sachs Group, Inc.",GS,224.586,741.89,1947635.0,CS,1999-05-04 00:00:00+00:00,0.4
51,McDonald's Corporation,MCD,224.122,314.07,2366396.0,CS,1966-07-05 00:00:00+00:00,0.4
52,American Express Company,AXP,222.098,319.16,2366217.0,CS,1972-06-01 00:00:00+00:00,0.4
53,"Merck & Co., Inc.",MRK,218.231,87.37,8841602.0,CS,1949-04-20 00:00:00+00:00,0.4
54,Shell plc,SHEL,216.737,73.32,2406296.0,ADRC,1984-03-12 00:00:00+00:00,0.4
55,The Walt Disney Company,DIS,213.702,118.86,5871218.0,CS,1962-01-02 00:00:00+00:00,0.4
56,RTX Corporation,RTX,209.133,156.24,2139350.0,CS,1951-05-25 00:00:00+00:00,0.4
57,AT&T Inc.,T,205.717,28.77,33693294.0,CS,1946-11-01 00:00:00+00:00,0.4
58,"PepsiCo, Inc.",PEP,204.869,149.64,5217077.0,CS,1919-12-18 00:00:00+00:00,0.4
59,Blackstone Inc.,BX,204.612,170.5,4649228.0,CS,2007-06-22 00:00:00+00:00,0.4
60,Caterpillar Inc.,CAT,204.102,435.67,3784164.0,CS,1929-12-02 00:00:00+00:00,0.4
61,"Uber Technologies, Inc.",UBER,201.848,96.79,15553791.0,CS,2019-05-10 00:00:00+00:00,0.4
62,Royal Bank of Canada,RY,194.449,137.88,631578.0,CS,1995-10-16 00:00:00+00:00,0.3
63,HDFC Bank Limited,HDB,189.290,73.99,2302146.0,ADRC,2001-07-20 00:00:00+00:00,0.3
64,Thermo Fisher Scientific Inc.,TMO,188.802,499.99,1459789.0,CS,1972-06-01 00:00:00+00:00,0.3
65,Verizon Communications Inc.,VZ,187.373,44.44,16358809.0,CS,1983-11-21 00:00:00+00:00,0.3
66,Texas Instruments Incorporated,TXN,187.337,206.06,6176746.0,CS,1953-10-01 00:00:00+00:00,0.3
67,Booking Holdings Inc.,BKNG,185.413,5720.87,195530.0,CS,1999-03-31 00:00:00+00:00,0.3
68,Intuit Inc.,INTU,184.847,662.66,6170164.0,CS,1993-03-12 00:00:00+00:00,0.3
69,Shopify Inc.,SHOP,184.699,142.11,7529802.0,CS,2015-05-21 00:00:00+00:00,0.3
70,"ServiceNow, Inc.",NOW,184.444,886.75,941937.0,CS,2012-06-29 00:00:00+00:00,0.3
71,XRP,XRP,181.545,3.0520912255672585,4593271729.214293,CC,2013-08-04 00:00:00+00:00,0.3
72,"Mitsubishi UFJ Financial Group, Inc.",MUFG,180.951,15.6,3584248.0,ADRC,1990-06-25 00:00:00+00:00,0.3
