,name,symbol,market_cap,weighted
0,NVIDIA Corporation,NVDA,4340.028,13.9
1,Microsoft Corporation,MSFT,3965.260,12.7
2,Apple Inc.,AAPL,3100.224,10.0
3,"Amazon.com, Inc.",AMZN,2485.405,8.0
4,Alphabet Inc.,GOOG,2326.909,7.5
5,Alphabet Inc.,GOOGL,2326.047,7.5
6,Bitcoin,BTC,2289.749,7.4
7,"Meta Platforms, Inc.",META,1944.543,6.2
8,Broadcom Inc.,AVGO,1381.409,4.4
9,Taiwan Semiconductor Manufacturing Company Limited,TSM,1253.167,4.0
10,Berkshire Hathaway Inc.,BRK-B,1017.393,3.3
11,"Tesla, Inc.",TSLA,994.309,3.2
12,JPMorgan Chase & Co.,JPM,823.278,2.6
13,Walmart Inc.,WMT,781.922,2.5
14,Oracle Corporation,ORCL,712.797,2.3
15,Eli Lilly and Company,LLY,701.391,2.3
16,Visa Inc.,V,669.830,2.2
