,name,symbol,market_cap,price,weighted
0,NVIDIA Corporation,NVDA,4238.768,173.72,13.5
1,Microsoft Corporation,MSFT,3895.799,524.11,12.4
2,Apple Inc.,AAPL,3022.707,202.38,9.6
3,Alphabet Inc.,GOOGL,2292.169,189.13,7.3
4,Alphabet Inc.,GOOG,2292.169,189.95,7.3
5,"Amazon.com, Inc.",AMZN,2279.872,214.75,7.2
6,Bitcoin,BTC,2256.743,113398.1756356863,7.2
7,Berkshire Hathaway Inc.,BRK-B,2042.560,472.84,6.5
8,"Meta Platforms, Inc.",META,1885.636,750.01,6.0
9,Broadcom Inc.,AVGO,1357.610,288.64,4.3
10,Taiwan Semiconductor Manufacturing Company Limited,TSM,1219.921,235.21,3.9
11,"Tesla, Inc.",TSLA,976.118,302.63,3.1
12,JPMorgan Chase & Co.,JPM,804.185,289.37,2.6
13,Walmart Inc.,WMT,785.992,98.49,2.5
14,Eli Lilly and Company,LLY,722.488,762.33,2.3
15,Oracle Corporation,ORCL,686.534,244.42,2.2
16,Visa Inc.,V,653.789,339.35,2.1
